Name,Class,Model,Role,PV,BV,Type,Size,Tonnage,Move,Short,Medium,Long,Overheat,Armor,Structure,Specials,ImageURL,MULId,Star League (2571 - 2780),Early Succession War (2781 - 2900),Late Succession War - LosTech (2901 - 3019),Late Succession War - Renaissance (3020 - 3049),Clan Invasion (3050 - 3061),Civil War (3062 - 3067),Jihad (3068 - 3085),Early Republic (3086 - 3100),Late Republic (3101 - 3130),Dark Ages (3131 - 3150),ilClan (3151 - 9999)
Fury Command Tank (C3S),Fury Command Tank,(C3S),Sniper,34,1413,CV,4,80,"8""t",2,2,2,0,9,4,"C3S,MHQ1,SRCH,TUR(2/2/2)",https://i.ibb.co/9NkgG4c/fury-3050u.png,1159,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Federated Suns,"Federated Suns, Republic of the Sphere","Federated Suns, Republic of the Sphere","Federated Suns, Republic of the Sphere",Federated Suns
Fury Command Tank (Fury II),Fury Command Tank,(Fury II),Sniper,29,1234,CV,4,80,"8""t",2,2,2,0,8,4,"SRCH,TUR(1/2/2)",https://i.ibb.co/9NkgG4c/fury-3050u.png,4193,"Inner Sphere General, Mercenary, Periphery General, Star League General","Inner Sphere General, Mercenary, Periphery General, Star League in Exile",Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Fury Command Tank (Fury III),Fury Command Tank,(Fury III),Sniper,46,1827,CV,4,80,"8""t",5,5,4,0,7,4,"C3BSS,CASE,MHQ2,PRB,RCN,SRCH,TUR(4/4/4)",https://i.ibb.co/9NkgG4c/fury-3050u.png,6801,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Federated Suns,Federated Suns,Federated Suns
Fury Command Tank (Fury IIIm),Fury Command Tank,(Fury IIIm),Sniper,43,1720,CV,4,80,"8""t",4,4,4,0,7,4,"C3BSM,CASE,MHQ6,SRCH,TAG,TUR(4/4/4)",https://i.ibb.co/9NkgG4c/fury-3050u.png,6802,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Federated Suns,Federated Suns,Federated Suns
Fury Command Tank (Original),Fury Command Tank,(Original),Sniper,29,1184,CV,4,80,"8""t",2,2,2,0,8,4,"IT1,SRCH,TUR(2/2/2)",https://i.ibb.co/9NkgG4c/fury-3050u.png,4194,Star League General,Inner Sphere General,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Fury Command Tank (Royal),Fury Command Tank,(Royal),Sniper,30,1255,CV,4,80,"8""t",2,2,2,0,8,4,"AMS,SRCH,TUR(2/2/2,AMS)",https://i.ibb.co/9NkgG4c/fury-3050u.png,1160,Star League Royal,"Capellan Confederation, Federated Suns, HW Clan General, Star League in Exile",HW Clan General,HW Clan General,"HW Clan General, IS Clan General","HW Clan General, IS Clan General","Escorpión Imperio, HW Clan General, IS Clan General, Society, Word of Blake","Clan Hell's Horses, Clan Jade Falcon, Clan Wolf, Escorpión Imperio, Rasalhague Dominion, Republic of the Sphere","Clan Hell's Horses, Clan Jade Falcon, Escorpión Imperio, Rasalhague Dominion, Republic of the Sphere","Clan Hell's Horses, Escorpión Imperio, Rasalhague Dominion, Republic of the Sphere, Scorpion Empire","Clan Hell's Horses, Rasalhague Dominion, Scorpion Empire"
Fury Command Tank CX-17,Fury Command Tank,CX-17,Sniper,32,0,CV,4,80,"8""t",1,1,1,0,7,4,"AECM,DCC5,FLK1/1/1,MHQ3,RCA,SRCH,TUR(1/1/1,FLK1/1/1)",https://i.ibb.co/9NkgG4c/fury-3050u.png,5556,Unknown,Unknown,Unknown,Unknown,"ComStar, Unique","ComStar, Unique","ComStar, Unique","Republic of the Sphere, Unique",Unknown,Unknown,Unknown
Gurzil Support Tank  ,Gurzil Support Tank, ,Missile Boat,47,1765,CV,4,80,"8""t",6,7,5,0,7,4,"CASE,CR,IF2,SRCH,TUR(5/5/3)",https://i.ibb.co/ZKG6g9k/gurzil-3145.jpg,6251,,,,,,,,,,,
Heavy LRM Carrier  ,Heavy LRM Carrier, ,Missile Boat,31,948,CV,4,80,"4""t",3,5,5,0,2,4,"EE,IF5,LRM2/5/5,SRCH,TUR(3/5/5,LRM2/5/5,IF5)",https://i.ibb.co/q7FyKTX/heavy-lrm-carrier-3060.png,1440,,,,,,,,,,,
Heavy LRM Carrier (EN Variant),Heavy LRM Carrier,(EN Variant),Missile Boat,32,1159,CV,4,80,"4""t",2,4,4,0,5,4,"CR,IF4,LRM1/2/2,SRCH,TUR(2/4/4,IF4,LRM1/2/2)",https://i.ibb.co/q7FyKTX/heavy-lrm-carrier-3060.png,1439,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unique,"Federated Suns, Unique",Extinct,Extinct,Extinct
Heavy MML Carrier  ,Heavy MML Carrier, ,Missile Boat,30,722,CV,4,80,"4""t",6,5,3,0,2,4,"EE,IF3,LRM0/2/3,SRCH,SRM6/2,TUR(6/5/3,SRM6/2,LRM0/2/3,IF3)",https://i.ibb.co/q7FyKTX/heavy-lrm-carrier-3060.png,1441,,,,,,,,,,,
Heavy NLRM Carrier  ,Heavy NLRM Carrier, ,Missile Boat,31,1245,CV,4,80,"6""t",3,3,3,0,5,4,"CR,FC,IF3,LRM3/3/3,SRCH,TUR(3/3/3,IF3,LRM2/3/3)",https://i.ibb.co/YRTXTRs/heavy-nlrm-carrier-proto.png,4276,,,,,,,,,,,
Morrigu Fire Support Vehicle  ,Morrigu Fire Support Vehicle, ,Missile Boat,42,1685,CV,4,80,"6""t",5,5,4,0,7,4,"CASE,ECM,IF2,LRM2/2/2,SRCH,TUR(4/4/4,LRM2/2/2,IF2)",https://i.ibb.co/TrrSckx/morrigu-3067.png,4674,,,,,,,,,,,
Morrigu Fire Support Vehicle (HAG),Morrigu Fire Support Vehicle,(HAG),Missile Boat,43,2059,CV,4,80,"6""t",5,5,5,0,7,4,"CASE,ECM,FLK3/2/2,IF2,LRM2/2/2,SRCH,TUR(5/5/5,IF2,FLK3/2/2,LRM2/2/2)",https://i.ibb.co/TrrSckx/morrigu-3067.png,5738,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Clan Diamond Shark, Inner Sphere General","Clan Sea Fox, Inner Sphere General","Clan Sea Fox, Inner Sphere General","Clan Protectorate, Clan Sea Fox, Inner Sphere General"
Morrigu Fire Support Vehicle (Laser),Morrigu Fire Support Vehicle,(Laser),Sniper,29,1324,CV,4,80,"6""t",3,3,3,0,6,4,"ENE,SRCH,TUR(3/3/3)",https://i.ibb.co/TrrSckx/morrigu-3067.png,4673,Unknown,Unknown,Unknown,Unknown,Unknown,"Clan Blood Spirit, Clan Fire Mandrill","Clan Blood Spirit, Clan Burrock, Clan Cloud Cobra, Clan Fire Mandrill, Clan Star Adder, Clan Stone Lion, Draconis Combine, Federated Suns, IS Clan General, Lyran Alliance","Inner Sphere General, IS Clan General","Inner Sphere General, IS Clan General","Inner Sphere General, IS Clan General","Inner Sphere General, IS Clan General"
Partisan Air Defense Tank  ,Partisan Air Defense Tank, ,Sniper,25,923,CV,4,80,"6""t",2,2,2,0,5,4,"C3S,FLK1/1/1,MHQ1,SRCH,TUR(2/2/2,FLK1/1/1)",https://i.ibb.co/0JYpZF4/partisan-heavy-tank-rg.png,2440,,,,,,,,,,,
Partisan Air Defense Tank (Cell),Partisan Air Defense Tank,(Cell),Sniper,26,980,CV,4,80,"6""t",2,2,2,0,5,4,"AMS,C3S,FC,FLK1/1/1,MHQ1,SRCH,TUR(2/2/2,AMS,FLK1/1/1)",https://i.ibb.co/0JYpZF4/partisan-heavy-tank-rg.png,2434,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Inner Sphere General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","Clan Nova Cat, Clan Wolf (in Exile), Inner Sphere General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","Clan Nova Cat, Clan Wolf (in Exile), Inner Sphere General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","Clan Nova Cat, Clan Wolf (in Exile), Inner Sphere General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","Clan Protectorate, Inner Sphere General, Kell Hounds, Mercenary, Periphery General, Star League (Clan Wolf), Wolf's Dragoons"
Partisan Air Defense Tank (Company Command),Partisan Air Defense Tank,(Company Command),Sniper,31,920,CV,4,80,"6""t",2,2,2,0,5,4,"C3M2,FLK1/1/1,MHQ10,SRCH,TAG,TUR(2/2/2,FLK1/1/1)",https://i.ibb.co/0JYpZF4/partisan-heavy-tank-rg.png,2435,Unknown,Unknown,Unknown,Unknown,"Federated Commonwealth, Federated Suns, Word of Blake","Federated Commonwealth, Federated Suns, Word of Blake","Federated Suns, Word of Blake","Federated Suns, Republic of the Sphere","Federated Suns, Republic of the Sphere","Capellan Confederation, Federated Suns, Republic of the Sphere","Capellan Confederation, Federated Suns"
Partisan Air Defense Tank (Lance Command),Partisan Air Defense Tank,(Lance Command),Sniper,30,836,CV,4,80,"6""t",2,2,2,0,5,4,"C3M,CASE,MHQ5,SRCH,TAG,TUR(2/2/2)",https://i.ibb.co/0JYpZF4/partisan-heavy-tank-rg.png,2436,Unknown,Unknown,Unknown,Unknown,"Federated Commonwealth, Federated Suns, Word of Blake","Federated Commonwealth, Federated Suns, Word of Blake","Federated Suns, Word of Blake","Federated Suns, Republic of the Sphere","Federated Suns, Republic of the Sphere","Capellan Confederation, Federated Suns, Republic of the Sphere","Capellan Confederation, Federated Suns"
Partisan Air Defense Tank (LRM),Partisan Air Defense Tank,(LRM),Missile Boat,42,1303,CV,4,80,"6""t",3,5,5,0,5,4,"AMS,C3S,FC,IF5,MHQ1,SRCH,TUR(3/5/5,AMS,IF5)",https://i.ibb.co/0JYpZF4/partisan-heavy-tank-rg.png,2437,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Inner Sphere General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons"
Partisan Air Defense Tank (Quad RAC),Partisan Air Defense Tank,(Quad RAC),Sniper,34,1296,CV,4,80,"6""t",3,3,3,0,7,4,"C3S,MHQ1,SRCH,TUR(3/3/3)",https://i.ibb.co/0JYpZF4/partisan-heavy-tank-rg.png,2438,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Federated Suns, Word of Blake",Federated Suns,Federated Suns,"Capellan Confederation, Federated Suns, Republic of the Sphere","Capellan Confederation, Federated Suns"
Partisan Air Defense Tank (RAC),Partisan Air Defense Tank,(RAC),Juggernaut,30,1247,CV,4,80,"6""t",4,4,0,0,5,4,"C3S,FLK0*/0*/0*,MHQ1,SRCH,TUR(4/4/0*,FLK0*/0*/0*)",https://i.ibb.co/0JYpZF4/partisan-heavy-tank-rg.png,2439,Unknown,Unknown,Unknown,Unknown,Unknown,"Federated Commonwealth, Federated Suns",Federated Suns,"Federated Suns, Republic of the Sphere","Federated Suns, Republic of the Sphere","Capellan Confederation, Federated Suns, Republic of the Sphere","Capellan Confederation, Federated Suns"
Partisan Air Defense Tank (XL),Partisan Air Defense Tank,(XL),Sniper,30,1110,CV,4,80,"6""t",3,3,3,0,5,4,"C3S,FLK1/1/1,MHQ1,SRCH,TUR(3/3/3,FLK1/1/1)",https://i.ibb.co/0JYpZF4/partisan-heavy-tank-rg.png,2441,Unknown,Unknown,Unknown,Unknown,"Federated Commonwealth, Federated Suns, Word of Blake","Federated Commonwealth, Federated Suns, Word of Blake","Federated Suns, Word of Blake","Federated Suns, Republic of the Sphere","Federated Suns, Republic of the Sphere","Capellan Confederation, Federated Suns, Republic of the Sphere","Capellan Confederation, Federated Suns"
Partisan Heavy Tank  ,Partisan Heavy Tank, ,Sniper,19,673,CV,4,80,"6""t",2,2,2,0,3,4,"AC2/2/2,EE,SRCH,TUR(2/2/2,AC2/2/2)",https://i.ibb.co/0JYpZF4/partisan-heavy-tank-rg.png,2445,,,,,,,,,,,
Partisan Heavy Tank (AC2),Partisan Heavy Tank,(AC2),Sniper,16,580,CV,4,80,"6""t",2,1,1,0,3,4,"AC1/1/1,EE,SRCH,TUR(AC1/1/1)",https://i.ibb.co/0JYpZF4/partisan-heavy-tank-rg.png,2442,Unknown,Unknown,"Inner Sphere General, Magistracy of Canopus, Mercenary, Taurian Concordat, Wolf's Dragoons","Inner Sphere General, Magistracy of Canopus, Mercenary, Taurian Concordat, Wolf's Dragoons","Inner Sphere General, Magistracy of Canopus, Marian Hegemony, Mercenary, Taurian Concordat, Wolf's Dragoons","Circinus Federation, Inner Sphere General, Magistracy of Canopus, Marian Hegemony, Mercenary, Taurian Concordat, Wolf's Dragoons","Circinus Federation, Fronc Reaches, Inner Sphere General, Kell Hounds, Magistracy of Canopus, Marian Hegemony, Mercenary, Taurian Concordat, Wolf's Dragoons","Inner Sphere General, Mercenary, Periphery General","Inner Sphere General, Mercenary, Periphery General","Mercenary, Periphery General","Mercenary, Periphery General"
Partisan Heavy Tank (C3),Partisan Heavy Tank,(C3),Sniper,21,662,CV,4,80,"6""t",2,2,2,0,3,4,"AC2/2/2,C3S,CASE,EE,MHQ1,SRCH,TUR(2/2/2,AC2/2/2)",https://i.ibb.co/0JYpZF4/partisan-heavy-tank-rg.png,2443,Unknown,Unknown,Unknown,Unknown,Unknown,"Federated Commonwealth, Federated Suns",Federated Suns,"Inner Sphere General, Mercenary, Periphery General","Inner Sphere General, Mercenary, Periphery General","Inner Sphere General, Mercenary, Periphery General","Inner Sphere General, Mercenary, Periphery General"
Partisan Heavy Tank (Cell),Partisan Heavy Tank,(Cell),Sniper,30,992,CV,4,80,"6""t",3,3,3,0,5,4,"C3S,CASE,FC,MHQ1,SRCH,TUR(3/3/3)",https://i.ibb.co/0JYpZF4/partisan-heavy-tank-rg.png,9566,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Federated Suns,"Federated Suns, Filtvelt Coalition, Kell Hounds, Lyran Commonwealth, Mercenary, Wolf's Dragoons","Capellan Confederation, Draconis Combine, Federated Suns, Filtvelt Coalition, Fronc Reaches, Lyran Commonwealth, Mercenary, Taurian Concordat","Filtvelt Coalition, Fronc Reaches, Inner Sphere General, Mercenary, Taurian Concordat"
Partisan Heavy Tank (ELRM),Partisan Heavy Tank,(ELRM),Missile Boat,30,1156,CV,4,80,"6""t",1,3,3,0,5,4,"C3S,CASE,IF2,FC,MHQ1,SRCH,TUR(1/3/3,IF2)",https://i.ibb.co/0JYpZF4/partisan-heavy-tank-rg.png,9567,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Federated Suns,"Federated Suns, Republic of the Sphere","Federated Suns, Star League (Clan Wolf)"
Partisan Heavy Tank (Light Gauss),Partisan Heavy Tank,(Light Gauss),Sniper,29,968,CV,4,80,"4""t",3,4,4,0,5,4,"CASE,SRCH,TUR(3/4/4)",https://i.ibb.co/0JYpZF4/partisan-heavy-tank-rg.png,9568,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Federated Suns, Free Worlds League, Free Worlds League (Duchy of Andurien), Free Worlds League (Duchy of Tamarind-Abbey), Free Worlds League (Marik-Stewart Commonwealth), Free Worlds League (Non-Aligned Worlds), Free Worlds League (Oriente Protectorate), Free Worlds League (Regulan Fiefs), Free Worlds League (Rim Commonality), Mercenary, Republic of the Sphere","Federated Suns, Free Worlds League, Mercenary"
Partisan Heavy Tank (LRM),Partisan Heavy Tank,(LRM),Missile Boat,30,1021,CV,4,80,"6""t",3,4,4,0,3,4,"EE,IF4,LRM2/4/4,SRCH,TUR(2/4/4,LRM2/4/4,IF4)",https://i.ibb.co/0JYpZF4/partisan-heavy-tank-rg.png,2444,Unknown,Unknown,"Inner Sphere General, Magistracy of Canopus, Mercenary, Taurian Concordat, Wolf's Dragoons","Inner Sphere General, Magistracy of Canopus, Mercenary, Taurian Concordat, Wolf's Dragoons","Inner Sphere General, Magistracy of Canopus, Marian Hegemony, Mercenary, Taurian Concordat, Wolf's Dragoons","Circinus Federation, Inner Sphere General, Magistracy of Canopus, Marian Hegemony, Mercenary, Taurian Concordat, Wolf's Dragoons","Circinus Federation, Fronc Reaches, Inner Sphere General, Kell Hounds, Magistracy of Canopus, Marian Hegemony, Mercenary, Taurian Concordat, Wolf's Dragoons","Inner Sphere General, Mercenary, Periphery General","Inner Sphere General, Mercenary, Periphery General","Mercenary, Periphery General","Mercenary, Periphery General"
Partisan Heavy Tank (Refit),Partisan Heavy Tank,(Refit),Sniper,23,835,CV,4,80,"6""t",3,3,3,0,3,4,"EE,FLK1/1/1,SRCH,TUR(2/3/3,FLK1/1/1)",https://i.ibb.co/0JYpZF4/partisan-heavy-tank-rg.png,9569,Unknown,Unknown,Unknown,Unknown,"Inner Sphere General, Kell Hounds, Mercenary, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Magistracy of Canopus, Mercenary, Outworlds Alliance, Taurian Concordat, Wolf's Dragoons","IS Clan General, Kell Hounds, Mercenary, Periphery General, Raven Alliance, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Periphery General, Raven Alliance, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Periphery General, Raven Alliance, Wolf's Dragoons","Clan Protectorate, Inner Sphere General, Kell Hounds, Mercenary, Periphery General, Raven Alliance, Wolf's Dragoons"
Partisan Hull Defense  ,Partisan Hull Defense, ,Juggernaut,25,1113,CV,4,80,"4""t",2,2,0,0,6,4,"C3BS,MHQ2,SEAL,SRCH,TUR(2/2/-)",https://i.ibb.co/0JYpZF4/partisan-heavy-tank-rg.png,2446,,,,,,,,,,,
Rhino Fire Support Tank  ,Rhino Fire Support Tank, ,Missile Boat,39,1462,CV,4,80,"6""t",3,4,3,0,9,4,"IF2,LRM1/2/2,SRCH,TUR(2/3/2,LRM1/2/2,IF2)",https://i.ibb.co/M5K2C2f/rhino-3050u.png,4913,,,,,,,,,,,
Rhino Fire Support Tank (Flamer),Rhino Fire Support Tank,(Flamer),Missile Boat,39,1439,CV,4,80,"6""t",4,4,2,0,9,4,"IF2,LRM1/2/2,SRCH,TUR(2/3/2,LRM1/2/2,IF2)",https://i.ibb.co/M5K2C2f/rhino-3050u.png,2681,Unknown,"Inner Sphere General, Mercenary, Periphery General","Inner Sphere General, Mercenary, Periphery General, Wolf's Dragoons","Inner Sphere General, Mercenary, Periphery General, Wolf's Dragoons","Inner Sphere General, Mercenary, Periphery General, Wolf's Dragoons","Inner Sphere General, Mercenary, Periphery General, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","Inner Sphere General, Mercenary, Periphery General","Mercenary, Periphery General, Republic of the Sphere",Extinct,Extinct
Rhino Fire Support Tank (Hagar),Rhino Fire Support Tank,(Hagar),Missile Boat,45,1574,CV,4,80,"6""t",3,4,3,0,11,5,"AMS,IF2,LRM1/2/2,SRCH,TUR(3/4/3,IF2,LRM1/2/2)",https://i.ibb.co/M5K2C2f/rhino-3050u.png,7327,"Star League Regular, Unique",Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Rhino Fire Support Tank (MG),Rhino Fire Support Tank,(MG),Missile Boat,39,1444,CV,4,80,"6""t",4,4,2,0,9,4,"IF2,LRM1/2/2,SRCH,TUR(2/3/2,LRM1/2/2,IF2)",https://i.ibb.co/M5K2C2f/rhino-3050u.png,2682,"Inner Sphere General, Mercenary, Periphery General, Star League General","ComStar, Inner Sphere General, Mercenary, Periphery General","ComStar, Inner Sphere General, Mercenary, Periphery General, Wolf's Dragoons","ComStar, Inner Sphere General, Mercenary, Periphery General, Wolf's Dragoons","Inner Sphere General, Mercenary, Periphery General, Wolf's Dragoons","Inner Sphere General, Mercenary, Periphery General, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","Inner Sphere General, Mercenary, Periphery General","Mercenary, Periphery General, Republic of the Sphere",Extinct,Extinct
Rhino Fire Support Tank (ML),Rhino Fire Support Tank,(ML),Missile Boat,39,1478,CV,4,80,"6""t",4,4,2,0,9,4,"IF2,LRM1/2/2,SRCH,TUR(2/3/2,LRM1/2/2,IF2)",https://i.ibb.co/M5K2C2f/rhino-3050u.png,2683,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Fronc Reaches, Taurian Concordat","Fronc Reaches, Taurian Concordat","Fronc Reaches, Taurian Concordat",Extinct,Extinct
Rhino Fire Support Tank (Royal),Rhino Fire Support Tank,(Royal),Missile Boat,46,1670,CV,4,80,"6""t",3,5,4,0,9,4,"AMS,ECM,IF3,SRCH,TUR(3/4/3,AMS,IF2)",https://i.ibb.co/M5K2C2f/rhino-3050u.png,2684,"Rim Worlds Republic - Terran Corps, Star League Regular, Star League Royal","HW Clan General, Star League in Exile",HW Clan General,HW Clan General,"HW Clan General, IS Clan General","HW Clan General, IS Clan General","HW Clan General, IS Clan General, Society","Clan Diamond Shark, Clan Hell's Horses, Clan Jade Falcon, Clan Wolf, Raven Alliance","Clan Hell's Horses, Clan Wolf, Raven Alliance","Clan Hell's Horses, Raven Alliance","Clan Hell's Horses, Raven Alliance"
Rhino Fire Support Tank (SL),Rhino Fire Support Tank,(SL),Missile Boat,39,1464,CV,4,80,"6""t",4,4,2,0,9,4,"IF2,LRM1/2/2,SRCH,TUR(2/3/2,LRM1/2/2,IF2)",https://i.ibb.co/M5K2C2f/rhino-3050u.png,2685,"Inner Sphere General, Mercenary, Periphery General, Star League General","Inner Sphere General, Mercenary, Periphery General","Inner Sphere General, Mercenary, Periphery General, Wolf's Dragoons","Inner Sphere General, Mercenary, Periphery General, Wolf's Dragoons","Inner Sphere General, Mercenary, Periphery General, Wolf's Dragoons","Inner Sphere General, Mercenary, Periphery General, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","Inner Sphere General, Mercenary, Periphery General","Mercenary, Periphery General, Republic of the Sphere",Extinct,Extinct
Rhino Fire Support Tank EC,Rhino Fire Support Tank,EC,Missile Boat,44,1679,CV,4,80,"6""t",5,5,3,0,9,4,"CASE,ENG,IF3,LRM3/3/3,SRCH,TUR(4/4/3,IF2,LRM2/2/2)",https://i.ibb.co/M5K2C2f/rhino-3050u.png,7691,Unknown,Clan Coyote,Clan Coyote,Clan Coyote,Extinct,Extinct,"Pirates, Society",Unknown,Unknown,Unknown,Unknown
Schiltron Mobile Fire-Support Platform A,Schiltron Mobile Fire-Support Platform,A,Juggernaut,48,1456,CV,4,80,"6""w",8,7,0,0,6,4,"C3M,ECM,MHQ5,OMNI,SRCH,TAG,TUR(4/3/-)",https://i.ibb.co/5RNHpBX/schiltron-3060.png,2815,Unknown,Unknown,Unknown,Unknown,"Draconis Combine, Federated Commonwealth, Federated Suns, Free Rasalhague Republic, Free Worlds League, Mercenary, Wolf's Dragoons, Word of Blake","Draconis Combine, Federated Commonwealth, Federated Suns, Free Rasalhague Republic, Free Worlds League, Mercenary, Wolf's Dragoons, Word of Blake","Draconis Combine, Federated Suns, Free Rasalhague Republic, Free Worlds League, Kell Hounds, Mercenary, Wolf's Dragoons, Word of Blake","Draconis Combine, Federated Suns, Free Worlds League (Duchy of Tamarind-Abbey), Free Worlds League (Oriente Protectorate), Mercenary, Rasalhague Dominion, Republic of the Sphere","Draconis Combine, Federated Suns, Free Worlds League (Duchy of Tamarind-Abbey), Free Worlds League (Oriente Protectorate), Mercenary, Rasalhague Dominion, Republic of the Sphere","Draconis Combine, Federated Suns, Free Worlds League, Free Worlds League (Duchy of Tamarind-Abbey), Free Worlds League (Oriente Protectorate), Mercenary, Rasalhague Dominion, Republic of the Sphere","Draconis Combine, Federated Suns, Free Worlds League, Mercenary, Rasalhague Dominion, Star League (Clan Jade Falcon), Star League (Clan Smoke Jaguar), Star League (Clan Wolf)"
Schiltron Mobile Fire-Support Platform B,Schiltron Mobile Fire-Support Platform,B,Missile Boat,51,1439,CV,4,80,"6""w",4,6,5,0,6,4,"C3M,ECM,IF4,MHQ5,OMNI,SRCH,TAG,TUR(3/3/3,IF2)",https://i.ibb.co/5RNHpBX/schiltron-3060.png,2816,Unknown,Unknown,Unknown,Unknown,"Draconis Combine, Federated Commonwealth, Federated Suns, Free Rasalhague Republic, Free Worlds League, Mercenary, Wolf's Dragoons, Word of Blake","Draconis Combine, Federated Commonwealth, Federated Suns, Free Rasalhague Republic, Free Worlds League, Mercenary, Wolf's Dragoons, Word of Blake","Draconis Combine, Federated Suns, Free Rasalhague Republic, Free Worlds League, Kell Hounds, Mercenary, Wolf's Dragoons, Word of Blake","Draconis Combine, Federated Suns, Free Worlds League (Duchy of Tamarind-Abbey), Free Worlds League (Oriente Protectorate), Mercenary, Rasalhague Dominion, Republic of the Sphere","Draconis Combine, Federated Suns, Free Worlds League (Duchy of Tamarind-Abbey), Free Worlds League (Oriente Protectorate), Mercenary, Rasalhague Dominion, Republic of the Sphere","Draconis Combine, Federated Suns, Free Worlds League, Free Worlds League (Duchy of Tamarind-Abbey), Free Worlds League (Oriente Protectorate), Mercenary, Rasalhague Dominion, Republic of the Sphere","Draconis Combine, Federated Suns, Free Worlds League, Mercenary, Rasalhague Dominion, Star League (Clan Jade Falcon), Star League (Clan Smoke Jaguar), Star League (Clan Wolf)"
Schiltron Mobile Fire-Support Platform C,Schiltron Mobile Fire-Support Platform,C,Juggernaut,37,1078,CV,4,80,"6""w",4,4,0,0,6,4,"C3M,ECM,ENE,MHQ5,OMNI,SRCH,TAG,TUR(4/4/-)",https://i.ibb.co/5RNHpBX/schiltron-3060.png,2817,Unknown,Unknown,Unknown,Unknown,"Draconis Combine, Federated Commonwealth, Federated Suns, Free Rasalhague Republic, Free Worlds League, Mercenary, Wolf's Dragoons, Word of Blake","Draconis Combine, Federated Commonwealth, Federated Suns, Free Rasalhague Republic, Free Worlds League, Mercenary, Wolf's Dragoons, Word of Blake","Draconis Combine, Federated Suns, Free Rasalhague Republic, Free Worlds League, Kell Hounds, Mercenary, Wolf's Dragoons, Word of Blake","Draconis Combine, Federated Suns, Free Worlds League (Duchy of Tamarind-Abbey), Free Worlds League (Oriente Protectorate), Mercenary, Rasalhague Dominion, Republic of the Sphere","Draconis Combine, Federated Suns, Free Worlds League (Duchy of Tamarind-Abbey), Free Worlds League (Oriente Protectorate), Mercenary, Rasalhague Dominion, Republic of the Sphere","Draconis Combine, Federated Suns, Free Worlds League, Free Worlds League (Duchy of Tamarind-Abbey), Free Worlds League (Oriente Protectorate), Mercenary, Rasalhague Dominion, Republic of the Sphere","Draconis Combine, Federated Suns, Free Worlds League, Mercenary, Rasalhague Dominion, Star League (Clan Jade Falcon), Star League (Clan Smoke Jaguar), Star League (Clan Wolf)"
